country,Code,Date,total_vaccinations
Algeria,DZA,2021-01-29,0
Algeria,DZA,2021-01-30,30
Andorra,AND,2021-01-25,576
Andorra,AND,2021-02-01,1036
Argentina,ARG,2020-12-29,700
Argentina,ARG,2020-12-31,32013
Argentina,ARG,2021-01-04,39599
Argentina,ARG,2021-01-08,107542
Argentina,ARG,2021-01-13,166833
Argentina,ARG,2021-01-15,200759
Argentina,ARG,2021-01-20,247933
Argentina,ARG,2021-01-21,265724
Argentina,ARG,2021-01-22,279602
Argentina,ARG,2021-01-23,288064
Argentina,ARG,2021-01-24,292023
Argentina,ARG,2021-01-25,292386
Argentina,ARG,2021-01-26,305880
Argentina,ARG,2021-01-27,318033
Argentina,ARG,2021-01-28,327999
Argentina,ARG,2021-01-29,344034
Argentina,ARG,2021-01-30,366384
Argentina,ARG,2021-02-01,375851
Argentina,ARG,2021-02-03,396562
Austria,AUT,2021-01-10,6784
Austria,AUT,2021-01-11,11559
Austria,AUT,2021-01-12,13172
Austria,AUT,2021-01-13,20064
Austria,AUT,2021-01-14,29359
Austria,AUT,2021-01-15,39751
Austria,AUT,2021-01-16,50402
Austria,AUT,2021-01-17,55450
Austria,AUT,2021-01-18,61012
Austria,AUT,2021-01-19,71508
Austria,AUT,2021-01-20,88895
Austria,AUT,2021-01-21,108252
Austria,AUT,2021-01-22,124756
Austria,AUT,2021-01-23,136348
Austria,AUT,2021-01-24,139538
Austria,AUT,2021-01-25,141350
Austria,AUT,2021-01-26,150933
Austria,AUT,2021-01-27,158985
Austria,AUT,2021-01-28,169439
Austria,AUT,2021-01-29,181419
Austria,AUT,2021-01-30,197179
Austria,AUT,2021-01-31,200498
Austria,AUT,2021-02-01,202345
Austria,AUT,2021-02-02,208988
Austria,AUT,2021-02-03,222520
Bahrain,BHR,2020-12-23,38965
Bahrain,BHR,2020-12-24,50071
Bahrain,BHR,2020-12-25,50543
Bahrain,BHR,2020-12-26,51556
Bahrain,BHR,2020-12-27,53614
Bahrain,BHR,2020-12-28,55014
Bahrain,BHR,2020-12-29,56041
Bahrain,BHR,2020-12-30,57317
Bahrain,BHR,2020-12-31,58643
Bahrain,BHR,2021-01-01,59351
Bahrain,BHR,2021-01-02,60097
Bahrain,BHR,2021-01-03,60689
Bahrain,BHR,2021-01-04,61612
Bahrain,BHR,2021-01-05,63893
Bahrain,BHR,2021-01-06,68472
Bahrain,BHR,2021-01-07,72239
Bahrain,BHR,2021-01-08,78291
Bahrain,BHR,2021-01-09,84157
Bahrain,BHR,2021-01-10,89250
Bahrain,BHR,2021-01-11,92598
Bahrain,BHR,2021-01-12,97776
Bahrain,BHR,2021-01-13,101363
Bahrain,BHR,2021-01-14,109566
Bahrain,BHR,2021-01-15,122819
Bahrain,BHR,2021-01-16,137159
Bahrain,BHR,2021-01-17,141563
Bahrain,BHR,2021-01-18,142831
